job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred,min_salary,max_salary,avg_salary,city,state
11,Vaughan-Ortiz,Tech,data scientist,"Keras, MLflow, Reinforcement Learning",Entry,Internship,"New Angelatown, LU",99964-125971,2024-01-10,Large,"LangChain, BigQuery, Scikit-learn",99964.0,125971.0,112967.5,New Angelatown,LU
12,"Johnson, Guzman and Hernandez",Finance,ml engineer,"Excel, Reinforcement Learning, Keras, Scikit-learn",Entry,Full-time,"Joychester, LT",63583-132670,2024-03-15,Large,"TensorFlow, PyTorch, BigQuery",63583.0,132670.0,98126.5,Joychester,LT
13,Martin and Sons,E-commerce,nlp engineer,"C++, Hugging Face, Python, FastAPI",Entry,Full-time,"South Michael, FM",102770-117026,2023-09-27,Startup,LangChain,102770.0,117026.0,109898.0,South Michael,FM
14,Frank-Duarte,Retail,quant researcher,"Excel, MLflow, NumPy, Hugging Face, LangChain, FastAPI",Senior,Full-time,"Christianberg, GQ",137004-193975,2024-11-20,Mid,"LangChain, TensorFlow, Scikit-learn",137004.0,193975.0,165489.5,Christianberg,GQ
15,Rogers Ltd,Education,nlp engineer,"Pandas, CUDA, NumPy, FastAPI",Mid,Remote,"New Katieborough, FJ",129842-216741,2024-07-08,Large,FastAPI,129842.0,216741.0,173291.5,New Katieborough,FJ
16,Wright-Evans,Automotive,nlp engineer,"Hugging Face, Scikit-learn, Reinforcement Learning",Senior,Remote,"Stephaniechester, LU",124669-217866,2024-04-06,Startup,TensorFlow,124669.0,217866.0,171267.5,Stephaniechester,LU
17,Preston Ltd,E-commerce,ml engineer,"MLflow, R, C++",Entry,Full-time,"South Tim, CZ",137523-180097,2025-05-14,Mid,LangChain,137523.0,180097.0,158810.0,South Tim,CZ
18,Smith-Moore,Automotive,ai product manager,"Excel, MLflow, Hugging Face, Flask, Power BI",Entry,Internship,"Blevinsburgh, VU",138184-192857,2024-04-29,Startup,BigQuery,138184.0,192857.0,165520.5,Blevinsburgh,VU
19,Webb and Sons,Healthcare,data scientist,"AWS, Azure, Power BI, CUDA, Reinforcement Learning, Hugging Face",Senior,Remote,"Parkmouth, CA",100845-159745,2024-10-19,Mid,"BigQuery, FastAPI, KDB+",100845.0,159745.0,130295.0,Parkmouth,CA
20,Gates LLC,E-commerce,ml engineer,"R, CUDA, Power BI, AWS",Mid,Internship,"Stevenhaven, BW",115578-207180,2024-08-29,Large,MLflow,115578.0,207180.0,161379.0,Stevenhaven,BW
21,"Whitaker, Walker and Sandoval",Retail,quant researcher,"C++, Power BI, R, SQL, Keras, Azure",Entry,Remote,"Gregorymouth, LV",122521-175168,2024-01-19,Large,"Scikit-learn, BigQuery, PyTorch",122521.0,175168.0,148844.5,Gregorymouth,LV
22,Humphrey LLC,Retail,quant researcher,"LangChain, NumPy, CUDA, C++, MLflow, R",Entry,Full-time,"Lake Alexander, RU",62483-105216,2023-12-28,Large,"PyTorch, LangChain",62483.0,105216.0,83849.5,Lake Alexander,RU
23,"Adams, Stevenson and Wagner",E-commerce,nlp engineer,"CUDA, FastAPI, Scikit-learn, MLflow, Hugging Face",Mid,Remote,"North Nicholas, SN",74317-148899,2024-11-25,Startup,"PyTorch, Scikit-learn, KDB+",74317.0,148899.0,111608.0,North Nicholas,SN
24,"Thomas, Hurst and Becker",Tech,nlp engineer,"PyTorch, CUDA, Hugging Face, Flask, C++",Senior,Internship,"Leeton, MW",68115-125323,2023-12-06,Mid,Scikit-learn,68115.0,125323.0,96719.0,Leeton,MW
25,Sherman-Nguyen,Healthcare,nlp engineer,"Python, Reinforcement Learning, MLflow",Mid,Internship,"Suzanneview, TW",89840-109693,2025-06-13,Mid,FastAPI,89840.0,109693.0,99766.5,Suzanneview,TW
26,Johnson-Keller,Finance,nlp engineer,"PyTorch, Reinforcement Learning, FastAPI, Power BI, Python, R",Mid,Remote,"Whitestad, BB",107786-126713,2024-12-20,Mid,"FastAPI, PyTorch, KDB+",107786.0,126713.0,117249.5,Whitestad,BB
27,Le PLC,Education,quant researcher,"Azure, Flask, FastAPI, Hugging Face, Power BI, Python",Senior,Internship,"Taraburgh, DZ",44309-77284,2025-01-02,Large,"TensorFlow, Scikit-learn, FastAPI",44309.0,77284.0,60796.5,Taraburgh,DZ
28,"Abbott, Nielsen and Young",Healthcare,data analyst,"R, Python, Pandas",Entry,Contract,"New Richard, TD",124616-172767,2025-02-28,Startup,"PyTorch, MLflow",124616.0,172767.0,148691.5,New Richard,TD
29,Thomas-Ruiz,Finance,data analyst,"Flask, Hugging Face, Pandas, Python, Scikit-learn, Keras",Mid,Internship,"South Donaldton, GE",142616-216391,2025-01-31,Startup,"Scikit-learn, FastAPI, LangChain",142616.0,216391.0,179503.5,South Donaldton,GE
30,"Good, Ware and Cruz",Finance,data analyst,"Scikit-learn, SQL, Azure",Entry,Contract,"North Michael, TT",70932-161568,2024-06-07,Startup,TensorFlow,70932.0,161568.0,116250.0,North Michael,TT
31,Gay PLC,Tech,quant researcher,"Keras, Excel, TensorFlow",Senior,Full-time,"Port Patriciaport, TG",54565-94461,2024-06-27,Startup,"KDB+, PyTorch",54565.0,94461.0,74513.0,Port Patriciaport,TG
32,Kirby-Zuniga,Healthcare,data scientist,"Hugging Face, Scikit-learn, C++, Excel, Azure",Entry,Full-time,"Danielchester, ID",112660-179478,2023-09-22,Mid,"LangChain, KDB+",112660.0,179478.0,146069.0,Danielchester,ID
33,"Castillo, Campbell and Robinson",Tech,ai product manager,"Keras, PyTorch, AWS, FastAPI, CUDA",Mid,Contract,"Alexandriaburgh, KN",55330-104941,2024-09-30,Startup,"TensorFlow, Scikit-learn",55330.0,104941.0,80135.5,Alexandriaburgh,KN
34,Carter LLC,Finance,nlp engineer,"MLflow, Keras, SQL, GCP, Power BI",Senior,Internship,"West Charles, TT",110439-183071,2023-11-25,Startup,PyTorch,110439.0,183071.0,146755.0,West Charles,TT
35,Hall Group,Automotive,computer vision engineer,"GCP, C++, Excel",Entry,Contract,"North Denise, MC",97714-134140,2024-04-01,Large,"TensorFlow, Scikit-learn",97714.0,134140.0,115927.0,North Denise,MC
36,Huynh PLC,Finance,computer vision engineer,"PyTorch, LangChain, R",Mid,Remote,"Kirbyside, LT",87250-156869,2023-12-25,Startup,"Scikit-learn, FastAPI, MLflow",87250.0,156869.0,122059.5,Kirbyside,LT
37,"Smith, Haas and Mendez",Retail,ai researcher,"Excel, SQL, Python",Entry,Contract,"Lake John, AU",77074-163272,2024-11-16,Mid,"Scikit-learn, LangChain, KDB+",77074.0,163272.0,120173.0,Lake John,AU
38,"Briggs, Shaw and Berry",E-commerce,ml engineer,"SQL, Hugging Face, TensorFlow",Mid,Remote,"East Ashleyland, PL",116061-159814,2025-05-14,Startup,MLflow,116061.0,159814.0,137937.5,East Ashleyland,PL
39,Boyd PLC,Retail,data scientist,"PyTorch, Power BI, AWS, FastAPI",Senior,Internship,"Port Misty, NL",87411-136106,2024-06-10,Mid,LangChain,87411.0,136106.0,111758.5,Port Misty,NL
40,"Sanders, Mejia and Townsend",Automotive,data analyst,"Power BI, PyTorch, GCP, CUDA, Keras, Scikit-learn",Entry,Internship,"Deleonchester, HN",88562-159008,2025-06-27,Mid,"FastAPI, Scikit-learn, LangChain",88562.0,159008.0,123785.0,Deleonchester,HN
41,Hernandez Inc,E-commerce,quant researcher,"NumPy, AWS, Excel, SQL, Keras",Senior,Remote,"Nicoleport, BF",41935-95608,2025-02-08,Mid,"Scikit-learn, TensorFlow, BigQuery",41935.0,95608.0,68771.5,Nicoleport,BF
42,"Parrish, White and Grant",E-commerce,nlp engineer,"R, Power BI, CUDA, MLflow",Mid,Full-time,"Kimside, BW",126443-145937,2023-11-10,Startup,TensorFlow,126443.0,145937.0,136190.0,Kimside,BW
43,"Carroll, Lucero and Lambert",Healthcare,ai product manager,"NumPy, SQL, Python, Reinforcement Learning, LangChain",Entry,Full-time,"Simsside, TD",99978-189975,2024-09-05,Large,"PyTorch, TensorFlow, FastAPI",99978.0,189975.0,144976.5,Simsside,TD
44,"Thomas, Waller and Kelly",Education,quant researcher,"Hugging Face, Flask, TensorFlow, Excel, SQL",Entry,Contract,"South Jeremiah, MX",65214-151832,2025-03-11,Large,"TensorFlow, LangChain, PyTorch",65214.0,151832.0,108523.0,South Jeremiah,MX
45,"Franklin, Wright and Berg",Automotive,quant researcher,"Hugging Face, Pandas, CUDA, LangChain, FastAPI",Mid,Internship,"Ramirezmouth, PK",71101-158421,2025-03-16,Mid,KDB+,71101.0,158421.0,114761.0,Ramirezmouth,PK
46,"Coleman, Gray and Roach",Healthcare,ml engineer,"LangChain, AWS, GCP",Entry,Internship,"New Rachelmouth, IT",119200-129563,2025-02-14,Startup,"FastAPI, MLflow, TensorFlow",119200.0,129563.0,124381.5,New Rachelmouth,IT
47,Mooney-Decker,Finance,data scientist,"Scikit-learn, PyTorch, Flask, Azure",Mid,Contract,"Jennyland, TR",122083-203812,2024-08-04,Startup,"PyTorch, BigQuery",122083.0,203812.0,162947.5,Jennyland,TR
48,Wood LLC,Automotive,computer vision engineer,"GCP, TensorFlow, Power BI",Entry,Contract,"Port Johnville, MA",144773-159408,2025-02-21,Mid,"MLflow, BigQuery, LangChain",144773.0,159408.0,152090.5,Port Johnville,MA
49,Copeland Group,Education,nlp engineer,"TensorFlow, LangChain, PyTorch, Power BI, R",Entry,Remote,"North Josephshire, YE",78317-161397,2024-03-19,Mid,"KDB+, PyTorch, MLflow",78317.0,161397.0,119857.0,North Josephshire,YE
50,Richards PLC,Finance,nlp engineer,"Power BI, CUDA, C++, Pandas, SQL, AWS",Mid,Full-time,"Lewismouth, TD",75575-120477,2024-05-07,Large,"FastAPI, KDB+, Scikit-learn",75575.0,120477.0,98026.0,Lewismouth,TD
51,"Melendez, Williams and Williamson",E-commerce,ai product manager,"TensorFlow, Keras, PyTorch, AWS, Scikit-learn",Entry,Full-time,"Steinside, IT",133185-231638,2023-09-27,Large,BigQuery,133185.0,231638.0,182411.5,Steinside,IT
52,"Ellis, Crane and Boyle",E-commerce,computer vision engineer,"Azure, Keras, Scikit-learn, Hugging Face, Excel, R",Entry,Contract,"North Jason, MR",73140-164506,2025-05-30,Mid,"LangChain, KDB+, FastAPI",73140.0,164506.0,118823.0,North Jason,MR
53,Foley-Moore,Finance,data scientist,"Keras, Pandas, Python, FastAPI, CUDA, Scikit-learn",Mid,Contract,"Thomasfort, KG",69031-115150,2025-05-17,Large,MLflow,69031.0,115150.0,92090.5,Thomasfort,KG
54,Wright and Sons,Tech,quant researcher,"R, SQL, Python, PyTorch",Mid,Full-time,"Chavezstad, TG",49382-141727,2024-11-09,Large,"LangChain, BigQuery, MLflow",49382.0,141727.0,95554.5,Chavezstad,TG
55,Williams-Vargas,Healthcare,quant researcher,"Keras, Excel, FastAPI, Azure, R, PyTorch",Senior,Full-time,"Carlland, ME",135916-233596,2024-11-10,Startup,"FastAPI, TensorFlow, BigQuery",135916.0,233596.0,184756.0,Carlland,ME
56,Hill-Huff,Tech,ml engineer,"Power BI, LangChain, Flask, Excel, SQL, CUDA",Senior,Remote,"Jessicamouth, PT",149271-215582,2025-04-23,Startup,"BigQuery, PyTorch, TensorFlow",149271.0,215582.0,182426.5,Jessicamouth,PT
57,Meyer PLC,Education,data analyst,"AWS, Excel, Azure",Entry,Internship,"Caitlynmouth, MR",56348-123497,2023-11-16,Mid,"LangChain, Scikit-learn, PyTorch",56348.0,123497.0,89922.5,Caitlynmouth,MR
58,Boyd-Carlson,Retail,ml engineer,"Excel, AWS, Keras, Azure, FastAPI, R",Senior,Full-time,"Villarrealhaven, KI",69159-139847,2025-02-11,Large,"MLflow, LangChain",69159.0,139847.0,104503.0,Villarrealhaven,KI
59,Scott-Gardner,Tech,ai researcher,"FastAPI, C++, Excel, Flask, Pandas",Senior,Remote,"North Laurie, BI",78305-162525,2025-06-21,Large,"FastAPI, PyTorch, LangChain",78305.0,162525.0,120415.0,North Laurie,BI
60,Jackson Group,Finance,ai product manager,"TensorFlow, C++, SQL, Hugging Face, Flask, Power BI",Mid,Internship,"East Juliashire, TR",64238-115477,2023-09-25,Startup,BigQuery,64238.0,115477.0,89857.5,East Juliashire,TR
61,"Sullivan, Silva and Sawyer",Finance,data analyst,"Power BI, Excel, GCP",Senior,Remote,"North Jonathan, NL",53583-148644,2024-06-27,Mid,MLflow,53583.0,148644.0,101113.5,North Jonathan,NL
62,"Page, Bonilla and Cohen",Retail,ai product manager,"Python, FastAPI, Scikit-learn, Hugging Face, Power BI, Flask",Entry,Remote,"Port Jacobchester, SB",50457-126635,2024-05-08,Startup,LangChain,50457.0,126635.0,88546.0,Port Jacobchester,SB
63,Young-Wright,Retail,computer vision engineer,"Hugging Face, Keras, Scikit-learn",Mid,Internship,"Kaylaburgh, NO",97883-172449,2024-10-26,Large,"TensorFlow, LangChain",97883.0,172449.0,135166.0,Kaylaburgh,NO
64,Patel PLC,E-commerce,ai product manager,"Reinforcement Learning, LangChain, Python",Entry,Remote,"South Jamie, KM",94965-141198,2025-02-17,Startup,FastAPI,94965.0,141198.0,118081.5,South Jamie,KM
65,"Lopez, Nelson and Meyer",E-commerce,ai researcher,"Azure, Pandas, Power BI, MLflow",Entry,Internship,"Lake Michelleport, RS",81202-154117,2025-01-06,Startup,"PyTorch, TensorFlow, FastAPI",81202.0,154117.0,117659.5,Lake Michelleport,RS
66,"Harris, Porter and Walter",Retail,ai researcher,"C++, Reinforcement Learning, NumPy, Azure, MLflow, Flask",Mid,Contract,"Port Kristenmouth, SA",106117-199125,2023-12-19,Large,"FastAPI, KDB+",106117.0,199125.0,152621.0,Port Kristenmouth,SA
67,Dominguez and Sons,Automotive,ai product manager,"LangChain, FastAPI, SQL",Senior,Internship,"Rodriguezstad, ET",137229-193525,2024-04-08,Large,"BigQuery, KDB+",137229.0,193525.0,165377.0,Rodriguezstad,ET
68,Griffith-Garner,Retail,data analyst,"NumPy, Python, Azure, GCP, C++, Scikit-learn",Senior,Remote,"Meredithview, LS",40995-54162,2024-12-21,Startup,PyTorch,40995.0,54162.0,47578.5,Meredithview,LS
69,Smith LLC,Healthcare,data analyst,"Power BI, AWS, NumPy, CUDA, MLflow",Mid,Full-time,"South Tylerhaven, LC",129140-193460,2023-12-09,Mid,"LangChain, PyTorch, MLflow",129140.0,193460.0,161300.0,South Tylerhaven,LC
70,Smith-Jones,Education,data analyst,"LangChain, PyTorch, Flask",Mid,Full-time,"South Karenville, BB",86690-120765,2025-06-15,Mid,BigQuery,86690.0,120765.0,103727.5,South Karenville,BB
71,"Maddox, Steele and Jones",Retail,ml engineer,"Flask, Scikit-learn, NumPy",Entry,Internship,"Billyfort, YE",85816-149983,2025-03-12,Mid,"FastAPI, PyTorch",85816.0,149983.0,117899.5,Billyfort,YE
72,Williams PLC,Healthcare,quant researcher,"SQL, FastAPI, LangChain, Scikit-learn, NumPy, TensorFlow",Senior,Remote,"New Jefferyfort, TG",60805-99890,2024-02-12,Startup,"FastAPI, LangChain",60805.0,99890.0,80347.5,New Jefferyfort,TG
73,"Hurst, Manning and Wood",Education,data analyst,"Azure, Excel, TensorFlow",Senior,Remote,"Petersenborough, VN",118377-137651,2025-05-02,Large,"PyTorch, BigQuery, Scikit-learn",118377.0,137651.0,128014.0,Petersenborough,VN
74,"Howard, Carr and Joseph",Automotive,nlp engineer,"C++, MLflow, CUDA, Hugging Face",Mid,Internship,"Leeberg, ME",81382-175328,2023-11-28,Large,"MLflow, PyTorch",81382.0,175328.0,128355.0,Leeberg,ME
75,Lewis-Smith,Automotive,ml engineer,"MLflow, NumPy, R, C++, PyTorch",Senior,Remote,"North Christopherfurt, LR",132555-209536,2025-09-09,Startup,KDB+,132555.0,209536.0,171045.5,North Christopherfurt,LR
76,Luna and Sons,Automotive,ai researcher,"R, Python, Flask",Mid,Contract,"Weberland, TL",54185-86768,2023-12-06,Mid,"FastAPI, TensorFlow, PyTorch",54185.0,86768.0,70476.5,Weberland,TL
77,King-Sheppard,E-commerce,ai researcher,"FastAPI, Hugging Face, PyTorch",Mid,Internship,"Zamorafurt, UA",101020-182230,2025-07-03,Startup,PyTorch,101020.0,182230.0,141625.0,Zamorafurt,UA
78,Meyer-Shaffer,E-commerce,nlp engineer,"Pandas, Flask, FastAPI, Reinforcement Learning",Mid,Internship,"Sharpborough, DM",49529-68621,2024-02-21,Startup,"LangChain, PyTorch, Scikit-learn",49529.0,68621.0,59075.0,Sharpborough,DM
79,"Ellis, Page and Smith",Tech,quant researcher,"Reinforcement Learning, Flask, NumPy, LangChain",Entry,Contract,"North Carriestad, IR",88756-103530,2024-10-12,Startup,LangChain,88756.0,103530.0,96143.0,North Carriestad,IR
80,Martinez-Fitzgerald,Healthcare,ml engineer,"AWS, TensorFlow, Flask, Power BI",Senior,Internship,"South Charles, CI",108574-194850,2025-01-20,Large,KDB+,108574.0,194850.0,151712.0,South Charles,CI
81,Johnson Inc,Education,ai researcher,"Reinforcement Learning, Python, Pandas, TensorFlow",Mid,Internship,"Lake Kristen, AZ",111184-166588,2025-08-03,Large,"Scikit-learn, MLflow, PyTorch",111184.0,166588.0,138886.0,Lake Kristen,AZ
82,Camacho PLC,Finance,data analyst,"R, C++, GCP, Hugging Face, LangChain, TensorFlow",Entry,Full-time,"Anthonyland, GQ",120456-210505,2024-01-14,Large,"PyTorch, Scikit-learn, BigQuery",120456.0,210505.0,165480.5,Anthonyland,GQ
83,Sweeney-Griffith,Finance,ai product manager,"Flask, Azure, C++, Excel",Entry,Internship,"Michaelchester, MK",86740-124608,2025-09-17,Mid,MLflow,86740.0,124608.0,105674.0,Michaelchester,MK
84,"Stafford, Owens and Thompson",Education,data analyst,"MLflow, Hugging Face, Python, Scikit-learn",Entry,Full-time,"Lake Debra, AM",78116-122008,2025-04-25,Mid,"MLflow, LangChain, KDB+",78116.0,122008.0,100062.0,Lake Debra,AM
85,"Gonzalez, Watts and Thompson",E-commerce,computer vision engineer,"FastAPI, SQL, Flask, CUDA, C++, Scikit-learn",Mid,Contract,"New Danielburgh, RU",42962-75277,2024-11-01,Startup,"FastAPI, LangChain",42962.0,75277.0,59119.5,New Danielburgh,RU
86,Graham Group,Tech,data analyst,"LangChain, FastAPI, PyTorch, CUDA, AWS",Senior,Full-time,"Lake Melissaville, PL",51640-64834,2024-03-21,Large,"BigQuery, Scikit-learn, MLflow",51640.0,64834.0,58237.0,Lake Melissaville,PL
87,Ward-Allen,Education,quant researcher,"C++, Power BI, NumPy",Mid,Contract,"Jeffreyburgh, SC",98118-167073,2024-09-10,Large,"LangChain, BigQuery",98118.0,167073.0,132595.5,Jeffreyburgh,SC
88,"Garrett, Hernandez and Anderson",Finance,quant researcher,"FastAPI, Scikit-learn, LangChain",Mid,Internship,"Whiteville, SE",140819-222611,2023-11-16,Mid,"LangChain, MLflow",140819.0,222611.0,181715.0,Whiteville,SE
89,Long Inc,Finance,ai researcher,"Flask, Python, Power BI, CUDA",Entry,Internship,"Jacksonmouth, UZ",82496-127505,2025-03-23,Startup,"FastAPI, LangChain, BigQuery",82496.0,127505.0,105000.5,Jacksonmouth,UZ
90,Cummings-Nash,Finance,ai researcher,"Python, SQL, C++, FastAPI",Entry,Internship,"Adamton, HR",124249-174855,2023-10-17,Startup,"KDB+, LangChain",124249.0,174855.0,149552.0,Adamton,HR
91,"Sawyer, Donovan and Vargas",Automotive,nlp engineer,"TensorFlow, Power BI, FastAPI, LangChain, Scikit-learn, Python",Mid,Contract,"Lake Erica, NL",81426-145890,2023-10-19,Mid,"BigQuery, KDB+, LangChain",81426.0,145890.0,113658.0,Lake Erica,NL
92,"Stewart, Gutierrez and Simpson",Tech,data scientist,"GCP, LangChain, Keras",Entry,Internship,"South Paige, VC",51104-130405,2025-03-21,Large,"LangChain, FastAPI, Scikit-learn",51104.0,130405.0,90754.5,South Paige,VC
93,Jones-Marshall,Finance,nlp engineer,"Excel, TensorFlow, Pandas, CUDA",Entry,Remote,"Scottberg, MG",143177-155682,2025-08-26,Startup,"MLflow, FastAPI, TensorFlow",143177.0,155682.0,149429.5,Scottberg,MG
94,Murphy-Rosales,Education,nlp engineer,"FastAPI, PyTorch, CUDA, Flask, Scikit-learn",Mid,Remote,"West Jesse, NG",139393-162837,2025-07-13,Large,"LangChain, BigQuery",139393.0,162837.0,151115.0,West Jesse,NG
95,Solis-Thornton,Healthcare,ml engineer,"Hugging Face, Python, FastAPI, CUDA, GCP",Entry,Full-time,"East Autumn, AM",111746-137892,2024-10-10,Mid,"LangChain, BigQuery",111746.0,137892.0,124819.0,East Autumn,AM
96,Michael Ltd,Healthcare,computer vision engineer,"PyTorch, MLflow, Scikit-learn, Excel, Pandas",Senior,Full-time,"Maldonadoville, PL",107083-124486,2025-08-09,Startup,LangChain,107083.0,124486.0,115784.5,Maldonadoville,PL
97,Alexander and Sons,Education,ai researcher,"Pandas, R, FastAPI, AWS, MLflow, Python",Senior,Full-time,"Richardside, PY",126865-190621,2024-11-15,Startup,"LangChain, FastAPI",126865.0,190621.0,158743.0,Richardside,PY
98,"Travis, Fletcher and Rodriguez",Finance,computer vision engineer,"Python, SQL, Power BI, Scikit-learn, FastAPI",Mid,Contract,"Port Julieburgh, KW",127896-227744,2023-12-18,Large,"FastAPI, KDB+, LangChain",127896.0,227744.0,177820.0,Port Julieburgh,KW
99,Lozano-Hill,Healthcare,data analyst,"Keras, NumPy, Excel, C++, Pandas",Entry,Contract,"South Stephanieville, BS",133789-170501,2024-05-22,Large,"TensorFlow, BigQuery",133789.0,170501.0,152145.0,South Stephanieville,BS
100,"Farmer, Leach and Norris",Retail,computer vision engineer,"Keras, Power BI, MLflow, AWS",Mid,Contract,"Williamsbury, DO",126422-179630,2025-09-03,Mid,TensorFlow,126422.0,179630.0,153026.0,Williamsbury,DO
101,Price-Nichols,Healthcare,ml engineer,"Pandas, MLflow, Hugging Face, SQL",Entry,Contract,"South Fredview, PL",53156-131761,2025-07-22,Startup,TensorFlow,53156.0,131761.0,92458.5,South Fredview,PL
102,"Gonzalez, Jackson and Williams",Retail,data scientist,"Hugging Face, LangChain, Azure, Scikit-learn, Flask",Senior,Internship,"Heatherport, DO",76985-169306,2025-08-09,Large,"KDB+, BigQuery, MLflow",76985.0,169306.0,123145.5,Heatherport,DO
103,"Dodson, Palmer and Huber",Education,quant researcher,"Python, Pandas, NumPy, MLflow",Entry,Full-time,"Alejandromouth, CU",129308-160166,2025-02-26,Mid,KDB+,129308.0,160166.0,144737.0,Alejandromouth,CU
104,Morris-Sanchez,Finance,data scientist,"Power BI, GCP, Scikit-learn",Senior,Internship,"New James, CR",112263-190554,2025-03-21,Mid,TensorFlow,112263.0,190554.0,151408.5,New James,CR
105,Cobb-Lindsey,E-commerce,nlp engineer,"FastAPI, TensorFlow, NumPy, AWS, Azure",Entry,Contract,"West Madison, QA",147332-158887,2024-11-19,Mid,"LangChain, Scikit-learn",147332.0,158887.0,153109.5,West Madison,QA
106,Ramirez-Goodwin,Automotive,computer vision engineer,"CUDA, Pandas, GCP, LangChain, Azure, TensorFlow",Mid,Full-time,"Tanyachester, TW",54559-121736,2025-04-04,Mid,"KDB+, MLflow",54559.0,121736.0,88147.5,Tanyachester,TW
107,Duran PLC,Healthcare,computer vision engineer,"Keras, GCP, SQL",Senior,Remote,"New David, EG",91427-154726,2023-10-03,Mid,"BigQuery, FastAPI",91427.0,154726.0,123076.5,New David,EG
108,Kaiser Group,Tech,ai product manager,"Power BI, FastAPI, Reinforcement Learning, SQL, Keras, AWS",Senior,Contract,"South Patricktown, NO",120983-167455,2025-03-30,Large,"TensorFlow, Scikit-learn, MLflow",120983.0,167455.0,144219.0,South Patricktown,NO
109,Garcia PLC,Education,ml engineer,"AWS, Hugging Face, Flask, CUDA",Mid,Contract,"Sanfordmouth, GW",108083-168433,2024-02-06,Large,BigQuery,108083.0,168433.0,138258.0,Sanfordmouth,GW
110,Steele-Norman,Healthcare,quant researcher,"Azure, MLflow, Excel, CUDA",Mid,Contract,"Elainefurt, BS",43248-86711,2024-06-20,Mid,Scikit-learn,43248.0,86711.0,64979.5,Elainefurt,BS
111,Garcia Ltd,Education,ai researcher,"SQL, Flask, NumPy, Power BI, Excel",Entry,Remote,"Brownstad, LU",73459-87186,2024-09-08,Large,KDB+,73459.0,87186.0,80322.5,Brownstad,LU
112,Hill LLC,Healthcare,ai researcher,"GCP, Azure, Reinforcement Learning, TensorFlow, CUDA, FastAPI",Mid,Contract,"Lake Christopher, QA",94345-157493,2024-07-24,Large,Scikit-learn,94345.0,157493.0,125919.0,Lake Christopher,QA
113,"Morales, Thomas and Miller",Healthcare,nlp engineer,"Python, FastAPI, R",Mid,Full-time,"Millermouth, GY",113621-179602,2024-08-28,Mid,"MLflow, Scikit-learn, FastAPI",113621.0,179602.0,146611.5,Millermouth,GY
114,Kelly-Novak,Finance,data scientist,"Scikit-learn, Pandas, GCP, Python, R",Entry,Full-time,"Nicoleside, AD",43828-137950,2025-05-20,Mid,KDB+,43828.0,137950.0,90889.0,Nicoleside,AD
